[robosuite WARNING] No private macro file found! (macros.py:53)
WARNING:robosuite_logs:No private macro file found!
[robosuite WARNING] It is recommended to use a private macro file (macros.py:54)
WARNING:robosuite_logs:It is recommended to use a private macro file
[robosuite WARNING] To setup, run: python /workspace/SketchPromptVLA-Pi/examples/libero/.venv/lib/python3.8/site-packages/robosuite/scripts/setup_macros.py (macros.py:55)
WARNING:robosuite_logs:To setup, run: python /workspace/SketchPromptVLA-Pi/examples/libero/.venv/lib/python3.8/site-packages/robosuite/scripts/setup_macros.py
/workspace/SketchPromptVLA-Pi/examples/libero/.venv/lib/python3.8/site-packages/numba/np/arraymath.py:3845: DeprecationWarning: `np.MachAr` is deprecated (NumPy 1.22).
  @overload(np.MachAr)
real/t1/demo_0 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.2951
real/t1/demo_1 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.8202
real/t1/demo_2 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.8661
real/t1/demo_3 success=True referent=True grasped=akita_black_bowl_1 frame_err=0.9608
real/t1/demo_4 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.8460
real/t1/demo_5 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.4192
real/t1/demo_6 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.4900
real/t1/demo_7 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.7978
real/t1/demo_8 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.3485
real/t1/demo_9 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.5566
real/t1/demo_11 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.3804
real/t1/demo_12 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.6700
real/t1/demo_13 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.5103
real/t1/demo_14 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.4141
real/t1/demo_15 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.7249
real/t1/demo_16 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.5727
real/t1/demo_18 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.0610
real/t1/demo_19 success=True referent=True grasped=akita_black_bowl_1 frame_err=3.5115
real/t1/demo_20 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.0076
real/t1/demo_21 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.5484
real/t2/demo_0 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.7304
real/t2/demo_1 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.4638
real/t2/demo_2 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.7246
real/t2/demo_3 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.4897
real/t2/demo_4 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.9866
real/t2/demo_6 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.3485
real/t2/demo_7 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.0821
real/t2/demo_9 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.1803
real/t2/demo_10 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.0927
real/t2/demo_11 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.1044
real/t2/demo_12 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.0731
real/t2/demo_13 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.8725
real/t2/demo_14 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.8865
real/t2/demo_15 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.6838
real/t2/demo_16 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.3519
real/t2/demo_18 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.3647
real/t2/demo_19 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.1811
real/t2/demo_20 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.4022
real/t2/demo_21 success=True referent=False grasped=akita_black_bowl_2 frame_err=2.5313
real/t2/demo_23 success=True referent=True grasped=akita_black_bowl_1 frame_err=0.7396
real/t3/demo_0 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.2072
real/t3/demo_1 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.8877
real/t3/demo_2 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.4490
real/t3/demo_3 success=False referent=False grasped=None frame_err=0.5744
real/t3/demo_4 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.2275
real/t3/demo_5 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.4768
real/t3/demo_6 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.6402
real/t3/demo_8 success=True referent=True grasped=akita_black_bowl_1 frame_err=2.6391
real/t3/demo_9 success=False referent=True grasped=akita_black_bowl_1 frame_err=1.9080
real/t3/demo_10 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.4873
real/t3/demo_11 success=False referent=False grasped=akita_black_bowl_2 frame_err=1.9668
real/t3/demo_12 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.8300
real/t3/demo_14 success=True referent=True grasped=akita_black_bowl_1 frame_err=1.1391
