suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode
spatial,scene_0000,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0242,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,6ca719971eabe548,3ea7d1f6488bfb47,,,
spatial,scene_0000,control,auto,oracle,tokens,1,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0239,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,9ed3c62215fdf8d1,ceeb06c46fb16059,,,
spatial,scene_0000,control,auto,oracle,tokens,2,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0244,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,4ebba8fae435351b,bff79f26cc2d1ae0,,,
spatial,scene_0000,control,auto,oracle,tokens,3,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.024,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,551e8ad3fcb98949,eeba677009bb94f7,,,
spatial,scene_0000,control,auto,oracle,tokens,4,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0243,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,a172bb98fab915ae,a39a17cea8f03814,,,
spatial,scene_0000,control,auto,oracle,tokens,5,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0239,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,1f99133514e579fe,846552d5a442b83f,,,
spatial,scene_0000,control,auto,oracle,tokens,6,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0242,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,f6fe23054cc1fa97,d7fa39190b625729,,,
spatial,scene_0000,control,auto,oracle,tokens,7,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0238,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,91a30eeb0ee16c00,6d235482fd2d0528,,,
spatial,scene_0000,control,auto,oracle,tokens,8,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.024,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,21c32e7faa066f00,4d1993a35b5de069,,,
spatial,scene_0000,control,auto,oracle,tokens,9,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0238,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,b10abf5804ae6859,64c55242a50878f9,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0136,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,594a7de3f74cc6d6,92339f906c509061,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,1,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0133,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,1f9c48b1ab9b03b9,46ff7448dae433c9,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,2,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0134,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,92e4605be82a1251,f600556bb3d99089,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,3,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0141,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,46761c22774d6c13,e5d96f75cad594eb,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,4,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0137,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,5f3b22cf7fa656de,0a4e650d97ec652e,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,5,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0137,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,966c3e490d179e75,a73428cbd0cea741,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,6,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0134,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,6f228be9c65d2ccd,a0e7b44d48aadd2b,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,7,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0133,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,0497703484fad12f,89016b90349a0a2d,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,8,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0139,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,21518c5618232250,c1c90619391e45f0,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,9,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0135,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,d1b42b0dcd62c359,b8d0118b1070f2c7,8c9b07e55c9f6aaa,,,
spatial,scene_0001,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0098,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,a8dbc733bc912815,62165bbe642a68a6,,,
spatial,scene_0001,control,auto,oracle,tokens,1,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0098,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,8f691b5f54f8ef09,2256e90e8a25e16d,,,
spatial,scene_0001,control,auto,oracle,tokens,2,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0097,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,af2904eb862745fa,0eb5195d199155a5,,,
spatial,scene_0001,control,auto,oracle,tokens,3,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0099,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,d884bcf6ee8001a6,d8a65061597ae7a5,,,
spatial,scene_0001,control,auto,oracle,tokens,4,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0097,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,8c8a5532bf1a59fe,cc3776c75d3d5e93,,,
spatial,scene_0001,control,auto,oracle,tokens,5,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0097,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,c55c73864c50dd0a,ad0068e1bfabbc91,,,
spatial,scene_0001,control,auto,oracle,tokens,6,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0099,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,6ef669ef869a89ce,4e97d6065ec2bdf9,,,
spatial,scene_0001,control,auto,oracle,tokens,7,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0098,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,95ee6d61b3c6254d,d9871f59072ee75e,,,
spatial,scene_0001,control,auto,oracle,tokens,8,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0101,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,a58e9728a952e435,cc3ffb40f258b249,,,
spatial,scene_0001,control,auto,oracle,tokens,9,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.01,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,e674c43f3d0dcebf,f36b3723f531ac5d,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0176,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,9acaf2fa06ee970e,1b43e1a70d77b546,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,1,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0176,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,29c5810567bddaeb,d511e4f4fe3e4547,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,2,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0175,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,5e76db56a938b2f6,27fab37bd01330b7,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,3,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0174,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,825b011a303d2fc6,59504c6b9748531b,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,4,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0173,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,e12c2ae99d1cfeec,8160ecf84a9d1038,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,5,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0173,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,4ab87d8397e61cb4,695036fb0fd54e29,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,6,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0172,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,421d1d4542f23a74,e76eb655a41d4bf7,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,7,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0172,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,e5fb7f8ed66c0c3c,97ce30385491e8b6,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,8,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0171,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,fab19db6a4767ffc,458ac3394db67a7a,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,9,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.017,akita_black_bowl_1,plate_1,True,True,plane,0.92,0.92,52a969ecb73b891c,4184b3161b0971fd,a6a1a58c8e3eba2f,,,
spatial,scene_0008,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0262,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,b5bc6f7854e8d826,ca30126df5e0fe7e,23add6fff6c86a31,,,
spatial,scene_0008,referential,auto,oracle,tokens,1,False,,200,False,False,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0262,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,b5bc6f7854e8d826,a64cf7b79e0f7bd3,f9e6e13900aa928e,,,
spatial,scene_0008,referential,auto,oracle,tokens,2,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0262,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,b5bc6f7854e8d826,617dd6702124e2a0,df0f7f76d8eb767f,,,
spatial,scene_0008,referential,auto,oracle,tokens,3,False,,200,False,False,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0263,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,b5bc6f7854e8d826,e6c8d5eb9a1efa02,9d44b4b5ff236760,,,
spatial,scene_0008,referential,auto,oracle,tokens,4,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0263,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,b5bc6f7854e8d826,92c859ccc785f5b7,e1dc478bbc25fe28,,,
spatial,scene_0008,referential,auto,oracle,tokens,5,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0264,akita_black_bowl_2,plate_1,True,True,plane,0.92,0.92,b5bc6f7854e8d826,60a8fbdb62c8f729,8610bf639098a39c,,,
