suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode
spatial,scene_0000,control,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0171,akita_black_bowl_1,plate_1,True,True,depth,0.9121,0.9117,d1b42b0dcd62c359,15eae7fdd27b666c,31c4f97fa616c452,,,
spatial,scene_0000,control,human:aaron_test,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0083,akita_black_bowl_1,plate_1,True,True,depth,0.9147,0.9117,d1b42b0dcd62c359,568c686e25b49876,6fc5af3bd1f00f5b,,,
spatial,scene_0000,control,human_consensus,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0082,akita_black_bowl_1,plate_1,True,True,depth,0.9147,0.9117,d1b42b0dcd62c359,d121abc7605c436a,4cb9b03977976943,,,
spatial,scene_0001,control,auto,oracle,tokens,0,False,,200,True,True,171,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0251,akita_black_bowl_1,plate_1,True,True,depth,0.9132,0.9119,52a969ecb73b891c,b13b52664843f4ce,85453509a2499216,,,
spatial,scene_0001,control,human:aaron_test,oracle,tokens,0,False,,200,True,True,165,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0152,akita_black_bowl_1,plate_1,True,True,depth,0.9161,0.9112,52a969ecb73b891c,a62cb6332f6c63bb,c366b37c127287b2,,,
spatial,scene_0001,control,human_consensus,oracle,tokens,0,False,,200,True,True,165,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0153,akita_black_bowl_1,plate_1,True,True,depth,0.9161,0.9112,52a969ecb73b891c,d4d9f37c9a27cc76,4fc85b689536f95d,,,
spatial,scene_0008,referential,auto,oracle,tokens,0,False,,200,True,True,166,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0248,akita_black_bowl_2,plate_1,True,True,depth,0.9137,0.9122,b5bc6f7854e8d826,094a00c696e59efd,c3a6989d5040f24b,,,
spatial,scene_0008,referential,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_3,False,plate_1,True,0.0139,akita_black_bowl_3,plate_1,True,True,depth,0.9185,0.9116,b5bc6f7854e8d826,f31c05f950189406,3dad44a9a525931f,,,
spatial,scene_0008,referential,human_consensus,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_3,False,plate_1,True,0.0119,akita_black_bowl_3,plate_1,True,True,depth,0.9185,0.9116,b5bc6f7854e8d826,3db707d8435181f8,979edfeb43ec6ab6,,,
spatial,scene_0009,referential,auto,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0267,akita_black_bowl_2,plate_1,True,True,depth,0.9143,0.9112,2ab3a665f4a9fe53,423339efa28bad44,ea08c52369652c94,,,
spatial,scene_0009,referential,human:aaron_test,oracle,tokens,0,False,,200,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.0079,akita_black_bowl_1,plate_1,True,True,depth,0.913,0.9112,2ab3a665f4a9fe53,7ad4ba5a506e6ebc,a27fb0314b27e043,,,
