suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0000,control,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2903,,,,,plane,,,d1b42b0dcd62c359,6ca719971eabe548,f759be8f7959b565,48,86.9,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2835,,,,,plane,,,d1b42b0dcd62c359,1dffe9b4919bafa3,4a69ca0f91b9d1e2,48,87.2,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2835,,,,,plane,,,d1b42b0dcd62c359,6711079e1776abaa,d4e88137375f7455,48,87.5,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,3,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.392,,,,,plane,,,d1b42b0dcd62c359,be0b538b4e1e9bab,ab8a8a0d8e4f9497,48,86.6,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,4,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2773,,,,,plane,,,d1b42b0dcd62c359,92acad47fb801adf,c387b283912329c5,48,87.0,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,5,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3032,,,,,plane,,,d1b42b0dcd62c359,01736ef47183a5e2,0d59f9b5085748c4,48,86.3,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,6,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3001,,,,,plane,,,d1b42b0dcd62c359,f06537bae8bf1f05,616e1773334392f8,48,86.2,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,7,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2848,,,,,plane,,,d1b42b0dcd62c359,dbffa847bb8af8aa,2a8022c130b44c22,48,87.4,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,8,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3021,,,,,plane,,,d1b42b0dcd62c359,182e077da49e127f,50959412884cfccf,48,86.9,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,9,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2837,,,,,plane,,,d1b42b0dcd62c359,63cb92786c7d9fdc,be751c8160ff7acc,48,87.1,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,10,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2881,,,,,plane,,,d1b42b0dcd62c359,b444d0f3f7a23764,9a22f508bd931e14,48,87.4,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,11,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2629,,,,,plane,,,d1b42b0dcd62c359,001303e308010bb7,b4de58046da35a8a,48,86.9,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,12,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2447,,,,,plane,,,d1b42b0dcd62c359,422909858d72a699,c8e7e78639dc496b,48,86.2,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,13,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2742,,,,,plane,,,d1b42b0dcd62c359,62e840864a0aca03,1817d4d69694fc48,48,85.7,none,ambiguous
spatial,scene_0001,control,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,cookies_1,False,,False,0.1389,,,,,plane,,,52a969ecb73b891c,a8dbc733bc912815,d7aa643c5078e379,48,86.3,none,ambiguous
spatial,scene_0001,control,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,cookies_1,False,,False,0.1491,,,,,plane,,,52a969ecb73b891c,466befa857d88120,2ae47cd5ba1dddb8,48,87.9,none,ambiguous
