suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0004,control,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0112,,,,,plane,,,1720ae1e3a2db4e0,601746b001029534,c62418b126bde3f6,48,87.4,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0216,,,,,plane,,,1720ae1e3a2db4e0,3a482c4c734299be,62d5a529cc2ec89f,48,86.6,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0026,,,,,plane,,,1720ae1e3a2db4e0,a59bbc29d174846b,168e0adf903488f7,48,86.8,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,3,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0054,,,,,plane,,,1720ae1e3a2db4e0,8358ceab7dd675bd,9c7083faf6b6d0b1,48,89.3,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,4,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0099,,,,,plane,,,1720ae1e3a2db4e0,cfcf7c170d60083c,65709bf60809c6a5,48,87.8,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,5,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0092,,,,,plane,,,1720ae1e3a2db4e0,e0090a97d68e2e52,7538c83739cf960a,48,87.5,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,6,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0101,,,,,plane,,,1720ae1e3a2db4e0,4243e5ad1df063f0,c8527c4134b98891,48,86.2,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,7,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0018,,,,,plane,,,1720ae1e3a2db4e0,d30dabe441c89ccf,4fcaaf83e3f8f9ff,48,87.4,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,8,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0144,,,,,plane,,,1720ae1e3a2db4e0,d95dcf4f5ac579d3,ba4519bddf7b4af2,48,87.3,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,9,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0063,,,,,plane,,,1720ae1e3a2db4e0,3644847730c8cdd8,a0be13d93c93d7f4,48,86.1,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,10,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0124,,,,,plane,,,1720ae1e3a2db4e0,14f7ee0825e547b9,51af341c999e9b5b,48,86.7,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,11,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0154,,,,,plane,,,1720ae1e3a2db4e0,56e8043c4cbf9c1e,66820c98fc3acab2,48,86.7,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,12,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0068,,,,,plane,,,1720ae1e3a2db4e0,dd6dc7b56fa6d8c2,8cd06ae0bb421e65,48,86.8,none,ambiguous_that
spatial,scene_0004,control,text_only,pi05,tokens,13,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0026,,,,,plane,,,1720ae1e3a2db4e0,2af8a4a4e5c893c2,608434acb76d2d84,48,86.8,none,ambiguous_that
spatial,scene_0006,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2801,,,,,plane,,,b1712668a66d84e4,4ef10dbc31bbfa0b,6d43a12692320ead,48,88.0,none,ambiguous_that
spatial,scene_0006,referential,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_2,False,plate_1,True,0.0082,,,,,plane,,,b1712668a66d84e4,cb0d1aa359e6c7ef,b5117725c17594af,48,86.0,none,ambiguous_that
spatial,scene_0006,referential,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_2,False,plate_1,True,0.006,,,,,plane,,,b1712668a66d84e4,8ba500038893c8e8,f71d414127e3ada3,48,87.6,none,ambiguous_that
spatial,scene_0006,referential,text_only,pi05,tokens,3,False,,240,False,False,,True,True,True,akita_black_bowl_2,False,plate_1,True,0.0082,,,,,plane,,,b1712668a66d84e4,22831643be4675f7,0554a14e0b1d02bf,48,89.2,none,ambiguous_that
spatial,scene_0006,referential,text_only,pi05,tokens,4,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0144,,,,,plane,,,b1712668a66d84e4,4e40de165e5e4e58,ccd2448c7026bdea,48,88.4,none,ambiguous_that
spatial,scene_0006,referential,text_only,pi05,tokens,5,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2801,,,,,plane,,,b1712668a66d84e4,e88293dd51180a2a,ddd7b7783e562a95,48,86.3,none,ambiguous_that
