suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0000,control,text_only,pi05,tokens,0,False,,240,True,True,81,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0028,,,,,plane,,,f07199b0dd672c7b,df202040cff53bcb,f2076daa7ecf79f6,48,160.5,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,1,False,,240,True,True,80,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0083,,,,,plane,,,f07199b0dd672c7b,5e45f9ce09b9b2eb,2d2493948f92f3f7,48,162.9,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,2,False,,240,True,True,79,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0065,,,,,plane,,,f07199b0dd672c7b,beb07a96468d6320,a08da4d248111ba9,48,159.7,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,3,False,,240,True,True,82,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0025,,,,,plane,,,f07199b0dd672c7b,d7bd2782103fb891,009d1442848e1b50,48,161.3,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,4,False,,240,True,True,80,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0048,,,,,plane,,,f07199b0dd672c7b,458964bee3c24f97,c7fc835db7ee9a2e,48,153.7,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,5,False,,240,True,True,81,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0058,,,,,plane,,,f07199b0dd672c7b,35c164980c64d867,28ad9bce067bbf4f,48,164.9,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,6,False,,240,True,True,84,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0059,,,,,plane,,,f07199b0dd672c7b,e6495cb973aa3110,796d9c6c7b961115,48,164.6,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,7,False,,240,True,True,82,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0009,,,,,plane,,,f07199b0dd672c7b,325c84dbc0a8e4a7,b03a42825f8306c6,48,158.6,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,8,False,,240,True,True,81,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0073,,,,,plane,,,f07199b0dd672c7b,bfefbf314808f149,af023898a08f0008,48,159.8,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,9,False,,240,True,True,82,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0091,,,,,plane,,,f07199b0dd672c7b,f9b0701ede0f31f2,8aea0481a84940c9,48,163.6,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,10,False,,240,True,True,85,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0086,,,,,plane,,,f07199b0dd672c7b,13283e978260db19,f7ee9cf6079e001e,48,156.7,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,11,False,,240,True,True,80,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0076,,,,,plane,,,f07199b0dd672c7b,b406f2933bf1c66c,9e3cc5d726c9eb15,48,164.3,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,12,False,,240,True,True,84,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0033,,,,,plane,,,f07199b0dd672c7b,6365d09b1da0509c,eda47f39321101e4,48,161.6,none,ambiguous
spatial,scene_0000,control,text_only,pi05,tokens,13,False,,240,True,True,84,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0073,,,,,plane,,,f07199b0dd672c7b,addc8a9cd63397a6,4788faf54d90dbfd,48,169.7,none,ambiguous
spatial,scene_0001,control,text_only,pi05,tokens,0,False,,240,True,True,91,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0063,,,,,plane,,,08a66c7918f503d9,15208c6776ec3405,781d0e290197963e,48,199.5,none,ambiguous
spatial,scene_0001,control,text_only,pi05,tokens,1,False,,240,True,True,91,True,True,True,akita_black_bowl_1,True,plate_1,True,0.007,,,,,plane,,,08a66c7918f503d9,62b8238d951be348,c728589082764539,48,189.5,none,ambiguous
spatial,scene_0001,control,text_only,pi05,tokens,2,False,,240,True,True,92,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0068,,,,,plane,,,08a66c7918f503d9,41388dd4301b5bec,f25bd654fca598ed,48,170.7,none,ambiguous
spatial,scene_0001,control,text_only,pi05,tokens,3,False,,240,True,True,86,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0166,,,,,plane,,,08a66c7918f503d9,2eee97fece31988a,acf7d57d9c914f69,48,174.3,none,ambiguous
spatial,scene_0001,control,text_only,pi05,tokens,4,False,,240,True,True,129,True,True,True,akita_black_bowl_1,True,plate_1,True,0.013,,,,,plane,,,08a66c7918f503d9,7a46134b7a60b5b6,54070275556a89a5,48,167.9,none,ambiguous
