suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0000,control,text_only,pi05,tokens,0,False,,240,True,True,74,True,True,True,akita_black_bowl_1,True,plate_1,True,0.012,,,,,plane,,,f07199b0dd672c7b,df202040cff53bcb,6de1f363aa52df08,48,156.3,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,1,False,,240,True,True,79,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0025,,,,,plane,,,f07199b0dd672c7b,5dc3f3e456759f1b,eaa4bda801ed1629,48,149.7,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,2,False,,240,True,True,74,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0041,,,,,plane,,,f07199b0dd672c7b,d9bdb80e28b1fb5a,cd690a98b079ca70,48,154.0,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,3,False,,240,True,True,80,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0118,,,,,plane,,,f07199b0dd672c7b,99aba5a6cdc1e99f,86a4768237204067,48,153.2,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,4,False,,240,True,True,80,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0059,,,,,plane,,,f07199b0dd672c7b,55b31f74ed5035fe,8a5f7471e0e6cbe8,48,160.7,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,5,False,,240,True,True,91,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0077,,,,,plane,,,f07199b0dd672c7b,356d74cff2360062,d1c483e90b2c79ee,48,164.5,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,6,False,,240,True,True,77,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0093,,,,,plane,,,f07199b0dd672c7b,045a9a73f627dd49,de34660ec9ff9acd,48,160.2,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,7,False,,240,True,True,78,True,True,True,akita_black_bowl_1,True,plate_1,True,0.008,,,,,plane,,,f07199b0dd672c7b,8630ab76f1b08b00,9a60f2df3dcac974,48,160.6,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,8,False,,240,True,True,82,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0072,,,,,plane,,,f07199b0dd672c7b,17e734f4ab38d17a,d9dcc0655fc20708,48,158.8,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,9,False,,240,True,True,79,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0033,,,,,plane,,,f07199b0dd672c7b,825ef939aeb0fd19,425a2d347380336f,48,154.3,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,10,False,,240,True,True,79,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0114,,,,,plane,,,f07199b0dd672c7b,e136144ad887ad6e,3e8788a595be22f4,48,152.0,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,11,False,,240,True,True,91,True,True,True,akita_black_bowl_1,True,plate_1,True,0.013,,,,,plane,,,f07199b0dd672c7b,9a90a9f7a5af00d7,594134ccab1ad3eb,48,154.1,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,12,False,,240,True,True,78,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0071,,,,,plane,,,f07199b0dd672c7b,84fb09f4733e2683,f949e0875ff33a89,48,149.7,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,13,False,,240,True,True,78,True,True,True,akita_black_bowl_1,True,plate_1,True,0.008,,,,,plane,,,f07199b0dd672c7b,27680e128878aa35,fa767205ee9cc500,48,145.7,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,0,False,,240,True,True,87,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0082,,,,,plane,,,08a66c7918f503d9,15208c6776ec3405,97538bbf3047c471,48,141.6,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,1,False,,240,True,True,97,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0175,,,,,plane,,,08a66c7918f503d9,7b239f46135f3ae8,d1125f020ecf0be2,48,147.2,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,2,False,,240,True,True,103,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0199,,,,,plane,,,08a66c7918f503d9,607faa9ea953e47d,80ca8888da739587,48,145.6,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,3,False,,240,True,True,90,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0178,,,,,plane,,,08a66c7918f503d9,687a681e32d5bb53,602e032fc8883c1d,48,145.9,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,4,False,,240,True,True,87,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0142,,,,,plane,,,08a66c7918f503d9,0511d5f66bdf4d8e,7f5e41bc7f3e4260,48,153.0,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,5,False,,240,True,True,94,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0024,,,,,plane,,,08a66c7918f503d9,1c9b6aae1dc8c47b,720d58db0793a860,48,143.0,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,6,False,,240,True,True,92,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0085,,,,,plane,,,08a66c7918f503d9,72b9de7ee4150c8e,b5cfe136605e375e,48,172.1,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,7,False,,240,True,True,86,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0099,,,,,plane,,,08a66c7918f503d9,23d4d6d07bcf75d5,c5e4d2d74d8eb73c,48,176.9,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,8,False,,240,True,True,92,True,True,True,akita_black_bowl_1,True,plate_1,True,0.003,,,,,plane,,,08a66c7918f503d9,c298d6ae84e7b26c,193d39b6fa9114cd,48,175.9,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,9,False,,240,True,True,88,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0114,,,,,plane,,,08a66c7918f503d9,dd210566f925bd13,10f609461eaf9c38,48,177.4,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,10,False,,240,True,True,96,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0078,,,,,plane,,,08a66c7918f503d9,6916d0ef0e78afe9,e48526febf634c75,48,151.6,none,explicit
