suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,n_infer_calls,infer_ms_mean
spatial,scene_0000,control,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2745,,,,,plane,,,48,100.3
spatial,scene_0000,control,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2817,,,,,plane,,,48,99.5
spatial,scene_0000,control,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3121,,,,,plane,,,48,97.8
spatial,scene_0001,control,text_only,pi05,tokens,0,False,,240,True,True,100,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0101,,,,,plane,,,48,105.1
spatial,scene_0001,control,text_only,pi05,tokens,1,False,,240,True,True,94,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0065,,,,,plane,,,48,103.9
spatial,scene_0001,control,text_only,pi05,tokens,2,False,,240,True,True,89,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0138,,,,,plane,,,48,102.5
spatial,scene_0008,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,False,,False,0.3383,,,,,plane,,,48,89.1
spatial,scene_0008,referential,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_2,True,,False,0.2929,,,,,plane,,,48,90.7
spatial,scene_0008,referential,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_2,True,,False,0.2917,,,,,plane,,,48,88.3
spatial,scene_0009,referential,text_only,pi05,tokens,0,False,,240,True,True,85,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0135,,,,,plane,,,48,91.7
spatial,scene_0009,referential,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,glazed_rim_porcelain_ramekin_1,False,plate_1,True,0.0288,,,,,plane,,,48,90.6
spatial,scene_0009,referential,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,False,,False,0.2009,,,,,plane,,,48,93.1
spatial,scene_0012,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_3,False,,False,0.135,,,,,plane,,,48,88.4
spatial,scene_0012,referential,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_3,False,,False,0.1347,,,,,plane,,,48,89.5
spatial,scene_0012,referential,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_3,False,,False,0.1076,,,,,plane,,,48,92.5
spatial,scene_0016,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_3,False,plate_1,True,0.0212,,,,,plane,,,48,87.8
spatial,scene_0016,referential,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_4,False,,False,0.2271,,,,,plane,,,48,91.4
