suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
destination,scene_0000,destination,text_only,pi05,tokens,0,False,,320,True,True,95,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0207,,,,,plane,,,aff194086cdce225,c0f11a652b13a371,7ec36f65bafa7f2f,64,182.6,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,1,False,,320,True,True,90,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0282,,,,,plane,,,aff194086cdce225,098b047d1c728506,33baa57f6e847dab,64,205.8,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,2,False,,320,True,True,88,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0061,,,,,plane,,,aff194086cdce225,4cc5874971389308,be399992b2a745de,64,205.2,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,3,False,,320,True,True,91,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0093,,,,,plane,,,aff194086cdce225,56509293fe81ea35,02bf05690b9ce56d,64,195.5,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,4,False,,320,True,True,87,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0103,,,,,plane,,,aff194086cdce225,3b543f927f0da364,fec5665f2e845e1e,64,202.1,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,5,False,,320,True,True,91,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0176,,,,,plane,,,aff194086cdce225,c67238c4e0d5b5b8,548511813ce5f6c1,64,180.1,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,6,False,,320,True,True,91,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0091,,,,,plane,,,aff194086cdce225,3f385847a4f42797,080624bbf7d0028c,64,199.9,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,7,False,,320,True,True,90,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0103,,,,,plane,,,aff194086cdce225,6fe4446f6496e0a8,187a9f03aff855f4,64,194.5,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,8,False,,320,True,True,98,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0096,,,,,plane,,,aff194086cdce225,c58a595426e31b35,c303e2a413358ff8,64,166.0,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,9,False,,320,True,True,86,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0107,,,,,plane,,,aff194086cdce225,f5e6b25555648bbe,49f3429519b3224c,64,145.5,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,10,False,,320,True,True,89,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0064,,,,,plane,,,aff194086cdce225,fe8565b56be33b31,1c8e6a75c6c13779,64,152.6,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,11,False,,320,True,True,91,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0108,,,,,plane,,,aff194086cdce225,69486d6e1172f7b8,30eb290bd49bedca,64,145.0,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,12,False,,320,True,True,85,True,True,True,akita_black_bowl_1,True,plate_1,True,0.008,,,,,plane,,,aff194086cdce225,8f34755543d82337,b0f0261ec0b226b5,64,147.0,none,explicit
destination,scene_0000,destination,text_only,pi05,tokens,13,False,,320,True,True,87,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0103,,,,,plane,,,aff194086cdce225,d537196dac992a8e,c646d4cbb209fc90,64,147.7,none,explicit
