suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
displacement,scene_0000,displacement,text_only,pi05,tokens,0,False,,320,True,True,87,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0319,,,,,plane,,,2f3f6e0197720b70,d910d7208c738187,a6c44c8646d59348,64,812.9,none,explicit
displacement,scene_0000,displacement,text_only,pi05,tokens,1,False,,320,True,True,84,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0189,,,,,plane,,,2f3f6e0197720b70,3aa308580441e35a,2611cc8daa6aa284,64,153.2,none,explicit
displacement,scene_0000,displacement,text_only,pi05,tokens,2,False,,320,True,True,84,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0136,,,,,plane,,,2f3f6e0197720b70,546972ba90df6e0f,102620f27c0553eb,64,152.6,none,explicit
displacement,scene_0000,displacement,text_only,pi05,tokens,3,False,,320,True,True,90,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0119,,,,,plane,,,2f3f6e0197720b70,abb1b3a8b4bfaeb8,f5a41a92e623b4b2,64,150.6,none,explicit
displacement,scene_0000,displacement,text_only,pi05,tokens,4,False,,320,True,True,130,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0056,,,,,plane,,,2f3f6e0197720b70,c98a5734f91e474b,d18c1df2596cb4d4,64,164.1,none,explicit
displacement,scene_0000,displacement,text_only,pi05,tokens,5,False,,320,True,True,86,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0096,,,,,plane,,,2f3f6e0197720b70,c566c490ea496167,0733ebc98d907e6a,64,154.1,none,explicit
displacement,scene_0000,displacement,text_only,pi05,tokens,6,False,,320,True,True,87,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0137,,,,,plane,,,2f3f6e0197720b70,26e9680b725b83df,1332a4df74d0589a,64,155.7,none,explicit
displacement,scene_0000,displacement,text_only,pi05,tokens,7,False,,320,True,True,87,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0076,,,,,plane,,,2f3f6e0197720b70,ba8799241be4ae2d,476c89c6e8622083,64,156.1,none,explicit
displacement,scene_0000,displacement,text_only,pi05,tokens,8,False,,320,True,True,87,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0104,,,,,plane,,,2f3f6e0197720b70,ec636399dc6c78d1,86d9c3f5e0edbb0d,64,169.6,none,explicit
displacement,scene_0000,displacement,text_only,pi05,tokens,9,False,,320,False,True,86,True,True,True,akita_black_bowl_1,True,plate_1,True,0.013,,,,,plane,,,2f3f6e0197720b70,930b298f1b6cb0cb,40261801f8aee3f3,64,156.0,none,explicit
