suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0000,control,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2764,,,,,plane,,,d1b42b0dcd62c359,6ca719971eabe548,7a034c417273ed73,48,85.8,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2817,,,,,plane,,,d1b42b0dcd62c359,f1c8fa372d2424ee,050c4d2002839385,48,85.9,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3604,,,,,plane,,,d1b42b0dcd62c359,3827b0bcc1f54b4e,976b0bab3be2e9fa,48,86.4,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,3,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3508,,,,,plane,,,d1b42b0dcd62c359,04784c35f3c88b59,93eb20f6ad340a72,48,86.7,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,4,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2871,,,,,plane,,,d1b42b0dcd62c359,9185be794dd3fd2f,b757762ee22f019a,48,84.9,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,5,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3375,,,,,plane,,,d1b42b0dcd62c359,3fd11840db13691e,b91ca5305ce2c9cf,48,84.4,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,6,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.249,,,,,plane,,,d1b42b0dcd62c359,c2b4d503baa1da77,bc333e0d8f2db09a,48,87.1,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,7,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2753,,,,,plane,,,d1b42b0dcd62c359,0bbf1451a280a4d1,998ae2f7d1a59340,48,85.8,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,8,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.283,,,,,plane,,,d1b42b0dcd62c359,3fc44d880086bbae,fb9becdd03288dad,48,85.7,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,9,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2812,,,,,plane,,,d1b42b0dcd62c359,52b67dbd7ea1d2ff,7d8048c67dc9c33c,48,86.7,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,10,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2853,,,,,plane,,,d1b42b0dcd62c359,40bcb0d75dcc4249,b26d6987d4aa37e1,48,87.4,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,11,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2822,,,,,plane,,,d1b42b0dcd62c359,a3d776c84cdd6683,edea78db4621d76a,48,92.6,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,12,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2658,,,,,plane,,,d1b42b0dcd62c359,5cccf5c0c97581cc,df73b21cbab829f6,48,87.2,none,explicit
spatial,scene_0000,control,text_only,pi05,tokens,13,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.252,,,,,plane,,,d1b42b0dcd62c359,9ab92bdf8cb2efd5,d038fda32399fd31,48,87.3,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,0,False,,240,True,True,89,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0115,,,,,plane,,,52a969ecb73b891c,a8dbc733bc912815,9e279f6533b6285c,48,86.6,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,1,False,,240,True,True,99,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0135,,,,,plane,,,52a969ecb73b891c,02202946f3e79125,2fed15b444ab20a9,48,87.2,none,explicit
spatial,scene_0001,control,text_only,pi05,tokens,2,False,,240,True,True,94,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0131,,,,,plane,,,52a969ecb73b891c,504af06501132513,e8c579098e664d17,48,87.4,none,explicit
