suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,0,False,,240,False,False,,True,False,False,,False,,False,0.1434,akita_black_bowl_1,plate_1,,,,,,f07199b0dd672c7b,3d4f359a615c2b16,a81f757ed4624b1e,48,2254.1,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,1,False,,240,True,True,78,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0097,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,fd71337c76e76260,b890306fc53820d9,48,974.9,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,2,False,,240,True,True,81,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0139,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,317e462472345227,6021ff0cbd815d97,48,966.8,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,3,False,,240,False,True,88,True,True,True,akita_black_bowl_1,True,plate_1,True,0.029,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,1d630f85f968c342,5fad2539c3b54b4d,48,962.8,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,4,False,,240,True,True,79,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0041,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,91f5496b58a57425,569ad1b13aec0d6b,48,962.1,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,5,False,,240,True,True,140,True,True,True,akita_black_bowl_1,True,plate_1,True,0.021,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,aaa93c0973280957,4bde9feb7dc088d5,48,966.2,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,6,False,,240,True,True,73,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0186,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,9e7f073ec524ab8f,bb7ae2bc7001330d,48,983.9,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,7,False,,240,True,True,72,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0143,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,18b5ef3bd57465f1,49391d0197f7bb1b,48,958.1,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,8,False,,240,True,True,75,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0143,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,7def09776e667e72,50a4bd43b2f817f8,48,978.1,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,9,False,,240,True,True,79,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0032,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,a8a2d9a9266dcb51,17470bc8ab0050d7,48,963.3,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,10,False,,240,True,True,75,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0086,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,e73e3580cf717f37,90e784b86381a7f9,48,974.4,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,11,False,,240,True,True,106,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0086,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,a62a74e135abe13f,3fea1dc6b508dd5a,48,957.9,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,12,False,,240,True,True,76,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0061,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,147067206f84680b,b084173cbed41da2,48,964.8,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,native,13,False,,240,False,True,82,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0303,akita_black_bowl_1,plate_1,True,True,,,,f07199b0dd672c7b,3f948bb149665052,051d8aedd9d392f7,48,969.9,,ambiguous
spatial,scene_0001,control,auto,sketchvla_input_overlay,native,0,False,,240,True,True,104,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0026,akita_black_bowl_1,plate_1,True,True,,,,08a66c7918f503d9,ae0d80dd5e3cf979,1c5e0e8af579c547,48,2232.2,,ambiguous
spatial,scene_0001,control,auto,sketchvla_input_overlay,native,1,False,,240,False,True,98,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0112,akita_black_bowl_1,plate_1,True,True,,,,08a66c7918f503d9,d625d1ca821fd5ce,b441dc48fe65b389,48,956.2,,ambiguous
spatial,scene_0001,control,auto,sketchvla_input_overlay,native,2,False,,240,True,True,111,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0041,akita_black_bowl_1,plate_1,True,True,,,,08a66c7918f503d9,628961b658e2d405,fd233d4eac9bc5df,48,966.7,,ambiguous
spatial,scene_0001,control,auto,sketchvla_input_overlay,native,3,False,,240,True,True,92,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0045,akita_black_bowl_1,plate_1,True,True,,,,08a66c7918f503d9,2524a3ed0b394572,2438412799d3bd85,48,958.9,,ambiguous
spatial,scene_0001,control,auto,sketchvla_input_overlay,native,4,False,,240,True,True,110,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0156,akita_black_bowl_1,plate_1,True,True,,,,08a66c7918f503d9,26efb8cc5ed8bc4d,4c6f495647f2c82a,48,961.3,,ambiguous
