suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,0,False,,240,True,True,101,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0081,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,3d4f359a615c2b16,8ba1dfd8009c2da2,48,639.5,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,1,False,,240,True,True,83,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0106,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,cd77fbb1b3ef6b0c,bd38a861364d174a,48,967.4,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,2,False,,240,True,True,84,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0263,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,fd65a5b10fc8139e,3f0c0c4bd3030d3e,48,960.3,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,3,False,,240,True,True,107,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0074,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,0787dd7a892bc382,4e690761d56be1be,48,969.7,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,4,False,,240,False,True,75,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0196,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,909c090dad35074f,25855a615acddc6e,48,969.1,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,5,False,,240,True,True,77,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0037,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,1fee5b97dabaa9a4,cbbc2743375dc327,48,970.0,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,6,False,,240,True,True,80,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0055,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,879eb80e25600097,6434e6e2418040a2,48,974.4,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,7,False,,240,True,True,78,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0169,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,d33159e86403f025,9836b59e97e74576,48,971.2,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,8,False,,240,False,True,73,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0133,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,6eed2364740ff5ed,839add081d716420,48,964.4,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,9,False,,240,True,True,73,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0085,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,f03f9cd9c1871651,31ae4efd39fa8a84,48,983.7,,ambiguous
spatial,scene_0000,control,auto,sketchvla_input_overlay,swap,10,False,,240,True,True,79,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0122,akita_black_bowl_2,plate_1,False,True,,,,f07199b0dd672c7b,d846542bf0417bf0,f74ead3f94c53748,48,965.1,,ambiguous
