suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.295,,,,,,,,d1b42b0dcd62c359,cfbb03cf6261e436,f539f9b426070d19,48,874.3,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2631,,,,,,,,d1b42b0dcd62c359,c6b06ecedf487351,cae763d4be700b2d,48,893.4,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2938,,,,,,,,d1b42b0dcd62c359,04c26b23db2a7ca8,4f63a79a140456ac,48,900.6,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,3,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2807,,,,,,,,d1b42b0dcd62c359,248f6e5363774767,148c0f31b6c446df,48,927.2,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,4,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2904,,,,,,,,d1b42b0dcd62c359,aa65bfdc9bf4f204,f55fe50d26bc7943,48,912.2,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,5,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2736,,,,,,,,d1b42b0dcd62c359,75f74059da3c6d31,dfd7cdb3256c9c82,48,965.6,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,6,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2989,,,,,,,,d1b42b0dcd62c359,45be480e7e214cbb,0a2bdd45b7ac70f0,48,875.1,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,7,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2698,,,,,,,,d1b42b0dcd62c359,62ca97d02b8fa7b2,8af8137114f7574e,48,859.4,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,8,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2856,,,,,,,,d1b42b0dcd62c359,528c1ab1c69fd749,5b1de5730793d81a,48,928.4,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,9,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2816,,,,,,,,d1b42b0dcd62c359,c642c9e3d19034c2,ebb0e3e34203e6da,48,876.2,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,10,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2673,,,,,,,,d1b42b0dcd62c359,a0be40161f6fc23c,92df8f3d2dd6bf22,48,894.2,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,11,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.284,,,,,,,,d1b42b0dcd62c359,43bab5fcb9f1350c,eed55a32b5f2c48c,48,843.5,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,12,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.292,,,,,,,,d1b42b0dcd62c359,41339790b01ea731,bb969653b2d2dc5e,48,872.1,,ambiguous
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,13,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2867,,,,,,,,d1b42b0dcd62c359,b61ef92e29c45045,9a919894ee456a2d,48,847.4,,ambiguous
spatial,scene_0001,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,0,False,,240,False,False,,True,False,False,,False,,False,0.1893,,,,,,,,52a969ecb73b891c,fac78ca28fdacafa,731ad42cf166d55b,48,894.2,,ambiguous
spatial,scene_0001,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,1,False,,240,False,False,,True,False,False,,False,,False,0.1446,,,,,,,,52a969ecb73b891c,5283c8ae389625c1,7ea178fedc727612,48,901.9,,ambiguous
spatial,scene_0001,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,2,False,,240,False,False,,True,False,False,,False,,False,0.142,,,,,,,,52a969ecb73b891c,672b57f2b705bb98,2496c17c591360d0,48,907.4,,ambiguous
