suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2878,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,cfbb03cf6261e436,2d3d004f27ff3f13,48,988.7,,ambiguous
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2604,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,f64dfd10959abedf,a7e412980205af8d,48,983.0,,ambiguous
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3369,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,30f4436f0810701a,239b8713914cd9c4,48,982.2,,ambiguous
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,3,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2429,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,ab7ccd493be06fc9,0cc938b4da3a8e51,48,1020.7,,ambiguous
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,4,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2829,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,231f0e5c2b14adce,1af6e2a9da44d0f2,48,978.8,,ambiguous
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,5,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2487,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,07f1a62a0a71248d,83f8ef76ce72007b,48,1011.9,,ambiguous
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,6,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3442,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,ddfcf8990f449057,75051c59ac15c1cc,48,1013.9,,ambiguous
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,7,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2751,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,a4ea84d80ff870e5,39c8f8ace5444a0d,48,988.2,,ambiguous
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,8,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2771,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,081066a7d171025d,bf92353571a323eb,48,989.1,,ambiguous
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,9,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2528,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,de2c752f9fd15923,c242e2b30a1a9327,48,969.9,,ambiguous
