suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2797,,,,,,,,d1b42b0dcd62c359,cfbb03cf6261e436,965a16ce9be2c4ee,48,1454.5,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3183,,,,,,,,d1b42b0dcd62c359,afcb8c9506e5db9c,23a6c66724cd5c74,48,896.8,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,2,False,,240,False,False,,True,False,False,,False,,False,0.2599,,,,,,,,d1b42b0dcd62c359,8fea3441501ae1d6,504dc97f0e9a5670,48,905.0,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,3,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2854,,,,,,,,d1b42b0dcd62c359,2859a8f3889d2b57,ebb8499bda3f6086,48,856.4,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,4,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2804,,,,,,,,d1b42b0dcd62c359,dd6d14943a031fe9,9a53ad88224254ad,48,864.9,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,5,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2578,,,,,,,,d1b42b0dcd62c359,8f1edf14b6304719,b44c6f5227e8fc66,48,914.8,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,6,False,,240,False,False,,True,False,False,,False,,False,0.249,,,,,,,,d1b42b0dcd62c359,f0a0568fdba7c910,75a649a1d9f27fdf,48,940.2,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,7,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2941,,,,,,,,d1b42b0dcd62c359,6221e3e5d83d2c36,48a3b5e4a6f631af,48,924.2,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,8,False,,240,False,False,,True,False,False,,False,,False,0.2608,,,,,,,,d1b42b0dcd62c359,97be1ea49f05d41f,aaed14175f90fd0a,48,896.1,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,9,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2671,,,,,,,,d1b42b0dcd62c359,7847e5d5283df5b1,088d69dece9ec8cf,48,902.6,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,10,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2985,,,,,,,,d1b42b0dcd62c359,c26e2cff702824b9,e23e8aeaf83e5606,48,955.3,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,11,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2603,,,,,,,,d1b42b0dcd62c359,436f789eb89d6fb3,72144ca1c0d4eecd,48,911.9,,explicit
spatial,scene_0000,control,text_only,sketchvla_prompt_conditioned_latent_action,blank,12,False,,240,False,False,,True,False,False,,False,,False,0.2533,,,,,,,,d1b42b0dcd62c359,a3a44c2079e8fe9e,2efbedf3878c9632,48,944.9,,explicit
