suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,init_state_hash,init_warmstart_hash,final_state_hash,n_infer_calls,infer_ms_mean,pi05_sketch_mode,prompt_type
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.3006,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,cfbb03cf6261e436,273a89859fd627ed,48,9932.0,,explicit
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2535,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,e1080a9b34eb6cba,117a3ebdf6b5b74a,48,976.3,,explicit
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,2,False,,240,False,False,,True,False,False,,False,,False,0.2495,akita_black_bowl_1,plate_1,,,,,,d1b42b0dcd62c359,6d9fb853ebf8e151,d641a1dfb9668b49,48,961.5,,explicit
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,3,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.31,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,fdfa3a5142d233be,438da02ccc7d0c7d,48,999.6,,explicit
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,4,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2731,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,6b9c5365ea40b16d,61d7167ea0d0a021,48,1010.9,,explicit
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,5,False,,240,False,False,,True,False,False,,False,,False,0.2484,akita_black_bowl_1,plate_1,,,,,,d1b42b0dcd62c359,2cb9d7417437c854,c0df0207f6b2bab0,48,996.6,,explicit
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,6,False,,240,False,False,,True,False,False,,False,,False,0.2487,akita_black_bowl_1,plate_1,,,,,,d1b42b0dcd62c359,e8146a33ea856e0d,7f1b22e55164c9a9,48,971.2,,explicit
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,7,False,,240,False,False,,True,False,False,,False,,False,0.2614,akita_black_bowl_1,plate_1,,,,,,d1b42b0dcd62c359,03aad8c51b69b00c,d54526a095182780,48,1019.4,,explicit
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,8,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2982,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,ce1e1c02bfe44aad,e99abf31eeb245d1,48,996.4,,explicit
spatial,scene_0000,control,auto,sketchvla_prompt_conditioned_latent_action,native,9,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2956,akita_black_bowl_1,plate_1,True,,,,,d1b42b0dcd62c359,2a8b7b16f6d8d1fc,ab486ec890757dcd,48,979.7,,explicit
